mã chứng khoán,tên công ty
VTP,Tổng Công ty Cổ phần Bưu chính Viettel
VSC,Công ty Cổ phần Container Việt Nam
VRE,Công ty Cổ phần Vincom Retail
VPI,Công ty Cổ phần Phát triển Bất động sản Văn Phú
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng
VNM,Công ty Cổ phần Sữa Việt Nam
VND,Công ty Cổ phần Chứng khoán VNDIRECT
VJC,Công ty Cổ phần Hàng không Vietjet
VIX,Công ty Cổ phần Chứng khoán VIX
VIC,Tập đoàn Vingroup - Công ty CP
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam
VHM,Công ty Cổ phần Vinhomes
VHC,Công ty Cổ phần Vĩnh Hoàn
VGC,Tổng Công ty Viglacera - Công ty Cổ phần
VCI,Công ty Cổ phần Chứng khoán Vietcap
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong
TLG,Công ty Cổ phần Tập đoàn Thiên Long
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam
SZC,Công ty Cổ phần Sonadezi Châu Đức
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
SSI,Công ty Cổ phần Chứng khoán SSI
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á
SJS,Công ty Cổ phần SJ Group
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn
REE,Công ty Cổ phần Cơ điện Lạnh
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí
PTB,Công ty Cổ phần Phú Tài
PPC,Công ty Cổ phần Nhiệt điện Phả Lại
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
PLX,Tập đoàn Xăng dầu Việt Nam
PHR,Công ty Cổ phần Cao su Phước Hòa
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
PC1,Công ty Cổ phần Tập đoàn PC1
PAN,Công ty Cổ phần Tập đoàn PAN
OCB,Ngân hàng Thương mại Cổ phần Phương Đông
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
NLG,Công ty Cổ phần Đầu tư Nam Long
NKG,Công ty Cổ phần Thép Nam Kim
NAB,Ngân hàng Thương mại Cổ phần Nam Á
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động
MSN,Công ty Cổ phần Tập đoàn Masan
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam
MBB,Ngân hàng Thương mại Cổ phần Quân đội
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam
KOS,Công ty Cổ phần KOSY
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền
KDC,Công ty Cổ phần Tập đoàn KIDO
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên
HSG,Công ty Cổ phần Tập đoàn Hoa Sen
HPG,Công ty Cổ phần Tập đoàn Hòa Phát
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả
HDG,Công ty Cổ phần Tập đoàn Hà Đô
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
HAG,Công ty Cổ phần Hoàng Anh Gia Lai
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần
GMD,Công ty Cổ phần Gemadept
GEX,Công ty Cổ phần Tập đoàn Gelex
GEE,Công ty Cổ phần Điện lực Gelex
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần
FTS,Công ty Cổ phần Chứng khoán FPT
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
FPT,Công ty Cổ phần FPT
EVF,Công ty Tài chính Cổ phần Điện Lực
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh
DXG,Công ty Cổ phần Tập đoàn Đất Xanh
DSE,Công ty Cổ phần Chứng khoán DNSE
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
DGW,Công ty Cổ phần Thế Giới Số
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang
DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam
CTR,Tổng Công ty Cổ phần Công trình Viettel
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
CTD,Công ty Cổ phần Xây dựng Coteccons
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương
BVH,Tập đoàn Bảo Việt
BSI,Công ty Cổ phần Chứng khoán BIDV
BMP,Công ty Cổ phần Nhựa Bình Minh
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP
ANV,Công ty Cổ phần Nam Việt
ACB,Ngân hàng Thương mại Cổ phần Á Châu